date time	sample name	count type	cell count	dilution factor	concentration	result type	result	mean diameter	assay type	cell type
11/07/2014 11:55:53	new sample	BR	140	1.0	       1.56e+006	  	  	  6.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:55:53	new sample	FL	115	1.0	       1.28e+006	  	  	  6.7	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:55:53	new sample	BR-FL	25	1.0	       2.76e+005	BR-FL/BR	 17.7%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 11:57:43	new sample	BR	150	1.0	       1.67e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:57:43	new sample	FL	139	1.0	       1.55e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 11:57:43	new sample	BR-FL	11	1.0	       1.21e+005	BR-FL/BR	  7.3%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:14:13	new sample	BR	74	1.0	       8.19e+005	  	  	  5.7	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:14:13	new sample	FL	102	1.0	       1.13e+006	  	  	  6.0	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:14:13	new sample	BR-FL	-28	1.0	      -3.12e+005	BR-FL/BR	-38.1%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:16:09	new sample	BR	134	1.0	       1.48e+006	  	  	  5.6	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:16:09	new sample	FL	108	1.0	       1.20e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:16:09	new sample	BR-FL	26	1.0	       2.83e+005	BR-FL/BR	 19.1%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:17:38	new sample	BR	141	1.0	       1.57e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:17:38	new sample	FL	123	1.0	       1.37e+006	  	  	  6.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:17:38	new sample	BR-FL	18	1.0	       1.97e+005	BR-FL/BR	 12.6%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:19:02	new sample	BR	130	1.0	       1.45e+006	  	  	  6.4	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:19:02	new sample	FL	115	1.0	       1.28e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:19:02	new sample	BR-FL	15	1.0	       1.65e+005	BR-FL/BR	 11.4%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:20:29	new sample	BR	141	1.0	       1.57e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:20:29	new sample	FL	115	1.0	       1.29e+006	  	  	  6.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:20:29	new sample	BR-FL	26	1.0	       2.82e+005	BR-FL/BR	 18.0%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:22:03	new sample	BR	122	1.0	       1.35e+006	  	  	  5.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:22:03	new sample	FL	141	1.0	       1.56e+006	  	  	  5.8	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:22:03	new sample	BR-FL	-19	1.0	      -2.14e+005	BR-FL/BR	-15.9%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:23:28	new sample	BR	138	1.0	       1.53e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
