Org Name	Station ID	State	County	HUC	Generated HUC	Station Latitude	Station Longitude	Station Horizontal Datum	Activity ID	Index ID	Index Type ID	Index Type Name	Index Score	Index Calculated Date
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		REC:MCYST_PRES:0191:1	NARS_WQX~MCYST_PRES	RECREATIONAL CONDITION CLASS (MICROCYSTIN PRESENC+	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		REC:REC_CHLA_COND:0191:1	NARS_WQX~REC_CHLA_COND	RECREATIONAL CONDITION CLASS (CHL A)	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		CHEM:ANC_COND:0191:1	NARS_WQX~ANC_COND	CHEMICAL CONDITION CLASS (ANC)	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		CHEM:CHLA_COND:0191:1	NARS_WQX~CHLA_COND	CONDITION CLASS (CHLOROPHYLL A)	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		CHEM:SALINITY_COND:0191:1	NARS_WQX~SALINITY_COND	CHEMICAL CONDITION CLASS (Conductivity/Salinity)	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		INFCHM:PTL_INF_COND:0191:1	NARS_WQX~PTL_INF_COND	T-B difference class for PTL	00	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		OE5:OE5_COND_985:0191:1	NARS_WQX~OE5_COND_985	CONDITION CLASS (PLANKTON O/E INDICATOR)BASED ON +	2	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PHAB:LITCVR_COND:0191:1	NARS_WQX~LITCVR_COND	LITTORAL VEGETATION COVER CONDITION CLASS (LitCvr+	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PHAB:RDIS_COND:0191:1	NARS_WQX~RDIS_COND	RIPARIAN DISTURBANCE CONDITION CLASS (RDis_IX)	2	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		REC:MCYST_COND:0191:1	NARS_WQX~MCYST_COND	RECREATIONAL CONDITION CLASS (MICROCYSTIN)	1	30-Nov-09
