id,river,site,species,dry_weight_g,buoyant_weight_g,length_mm,width_mm,height_mm,date,dead,post
C533,Tuckasegee,Tuck 3,A. raveneliana,13.4,3.6,52,26,18,9/19/13,0,1
C512,Tuckasegee,Tuck 3,A. raveneliana,,,71.4,36.9,23.5,9/19/13,1,1
C492,Tuckasegee,Tuck 3,A. raveneliana,,,77.3,39.9,25.5,9/19/13,1,1
C531,Tuckasegee,Tuck 3,A. raveneliana,31.2,6.6,70,34,24,9/19/13,0,1
C478,Tuckasegee,Tuck 3,A. raveneliana,,,78.5,36.2,25.6,9/19/13,1,1
C463,Little Tennessee,LiTN 1,A. raveneliana,37.4,4.8,70,36,25,9/19/13,0,1
C525,Little Tennessee,LiTN 1,A. raveneliana,NA,NA,NA,NA,NA,NA,NA,1
C482,Little Tennessee,LiTN 1,A. raveneliana,53,8.7,78,38,30,9/19/13,0,1
C524,Little Tennessee,LiTN 1,A. raveneliana,34.4,10.4,71,34,27,9/19/13,0,1
C494,Little Tennessee,LiTN 1,A. raveneliana,,,68.9,36.3,23.8,8/19/13,1,1
C473,Little Tennessee,LiTN 1,A. raveneliana,13.3,3,49.5,25,17.5,10/3/13,0,1
C490,Little Tennessee,LiTN 1,A. raveneliana,,,51.4,28,18.6,9/19/13,1,1
C529,Little Tennessee,LiTN 1,A. raveneliana,13.1,2.1,52,28,16,9/19/13,0,1
C466,Little Tennessee,LiTN 1,A. raveneliana,38.5,9.4,72,38.4,24.7,10/3/13,0,1
C514,Little Tennessee,LiTN 1,A. raveneliana,38.8,9.1,75,34.6,24.5,10/3/13,0,1
C510,Little Tennessee,LiTN 1,A. raveneliana,30.2,3.6,68,35,23,9/19/13,0,1
C528,Little Tennessee,LiTN 1,A. raveneliana,30.6,6.5,71,33,25,9/19/13,0,1
C495,Little Tennessee,LiTN 2,A. raveneliana,,,70.6,35.6,23.4,8/19/13,1,1
C488,Little Tennessee,LiTN 2,A. raveneliana,,,66.7,34.5,24,8/19/13,1,1
