date time	sample name	count type	cell count	dilution factor	concentration	result type	result	mean diameter	assay type	cell type
06/13/2014 14:08:24	new sample	BR-FL	167	1.0	       1.88e+006	BR-FL/BR	 58.7%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:10:30	new sample	BR	270	1.0	       3.00e+006	  	  	  6.4	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:10:30	new sample	FL	175	1.0	       1.91e+006	  	  	  4.2	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:10:30	new sample	BR-FL	95	1.0	       1.09e+006	BR-FL/BR	 36.3%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:11:56	new sample	BR	223	1.0	       2.49e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:11:56	new sample	FL	148	1.0	       1.62e+006	  	  	  4.4	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:11:56	new sample	BR-FL	75	1.0	       8.66e+005	BR-FL/BR	 34.8%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:13:45	new sample	BR	194	1.0	       2.16e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:13:45	new sample	FL	164	1.0	       1.79e+006	  	  	  4.2	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:13:45	new sample	BR-FL	30	1.0	       3.68e+005	BR-FL/BR	 17.0%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:15:08	new sample	BR	214	1.0	       2.38e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:15:08	new sample	FL	160	1.0	       1.75e+006	  	  	  4.1	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:15:08	new sample	BR-FL	54	1.0	       6.30e+005	BR-FL/BR	 26.5%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:17:08	new sample	BR	294	1.0	       3.29e+006	  	  	  7.0	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:17:08	new sample	FL	154	1.0	       1.69e+006	  	  	  4.6	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:17:08	new sample	BR-FL	140	1.0	       1.60e+006	BR-FL/BR	 48.6%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:18:29	new sample	BR	226	1.0	       2.51e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:18:29	new sample	FL	144	1.0	       1.57e+006	  	  	  4.2	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:18:29	new sample	BR-FL	82	1.0	       9.38e+005	BR-FL/BR	 37.3%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:19:53	new sample	BR	186	1.0	       2.06e+006	  	  	  6.0	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:19:53	new sample	FL	123	1.0	       1.35e+006	  	  	  4.3	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:19:53	new sample	BR-FL	63	1.0	       7.17e+005	BR-FL/BR	 34.7%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:30:23	new sample	BR	260	1.0	       2.90e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:30:23	new sample	FL	150	1.0	       1.65e+006	  	  	  4.8	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:30:23	new sample	BR-FL	110	1.0	       1.25e+006	BR-FL/BR	 43.1%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:36:29	new sample	BR	286	1.0	       3.19e+006	  	  	  6.8	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:36:29	new sample	FL	145	1.0	       1.59e+006	  	  	  4.4	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:36:29	new sample	BR-FL	141	1.0	       1.60e+006	BR-FL/BR	 50.3%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:38:04	new sample	BR	271	1.0	       3.03e+006	  	  	  7.1	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:38:04	new sample	FL	121	1.0	       1.33e+006	  	  	  4.4	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:38:04	new sample	BR-FL	150	1.0	       1.71e+006	BR-FL/BR	 56.3%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:41:08	new sample	BR	238	1.0	       2.65e+006	  	  	  6.7	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:41:08	new sample	FL	101	1.0	       1.11e+006	  	  	  4.7	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:41:08	new sample	BR-FL	137	1.0	       1.55e+006	BR-FL/BR	 58.2%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:42:09	new sample	BR	237	1.0	       2.64e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:42:09	new sample	FL	112	1.0	       1.23e+006	  	  	  4.3	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:42:09	new sample	BR-FL	125	1.0	       1.42e+006	BR-FL/BR	 53.6%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:43:38	new sample	BR	267	1.0	       2.99e+006	  	  	  7.1	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:43:38	new sample	FL	108	1.0	       1.19e+006	  	  	  4.7	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:43:38	new sample	BR-FL	159	1.0	       1.80e+006	BR-FL/BR	 60.3%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:45:29	new sample	BR	248	1.0	       2.77e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:45:29	new sample	FL	141	1.0	       1.55e+006	  	  	  4.8	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:45:29	new sample	BR-FL	107	1.0	       1.22e+006	BR-FL/BR	 44.0%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:46:49	new sample	BR	256	1.0	       2.84e+006	  	  	  5.9	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:46:49	new sample	FL	162	1.0	       1.77e+006	  	  	  4.4	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:46:49	new sample	BR-FL	94	1.0	       1.06e+006	BR-FL/BR	 37.5%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:48:24	new sample	BR	250	1.0	       2.78e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:48:24	new sample	FL	146	1.0	       1.60e+006	  	  	  4.2	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:48:24	new sample	BR-FL	104	1.0	       1.18e+006	BR-FL/BR	 42.5%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:49:59	new sample	BR	282	1.0	       3.14e+006	  	  	  6.5	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:49:59	new sample	FL	96	1.0	       1.05e+006	  	  	  4.4	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:49:59	new sample	BR-FL	186	1.0	       2.09e+006	BR-FL/BR	 66.5%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:51:11	new sample	BR	250	1.0	       2.78e+006	  	  	  6.4	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:51:11	new sample	FL	133	1.0	       1.45e+006	  	  	  3.9	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:51:11	new sample	BR-FL	117	1.0	       1.33e+006	BR-FL/BR	 47.9%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:53:01	new sample	BR	184	1.0	       2.04e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:53:01	new sample	FL	132	1.0	       1.44e+006	  	  	  3.9	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:53:01	new sample	BR-FL	52	1.0	       6.03e+005	BR-FL/BR	 29.5%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:54:26	new sample	BR	242	1.0	       2.68e+006	  	  	  5.6	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:54:26	new sample	FL	152	1.0	       1.66e+006	  	  	  4.0	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:54:26	new sample	BR-FL	90	1.0	       1.02e+006	BR-FL/BR	 38.0%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:58:11	new sample	BR	209	1.0	       2.33e+006	  	  	  6.7	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:58:11	new sample	FL	138	1.0	       1.51e+006	  	  	  4.3	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:58:11	new sample	BR-FL	71	1.0	       8.21e+005	BR-FL/BR	 35.2%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 14:59:45	new sample	BR	220	1.0	       2.44e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:59:45	new sample	FL	149	1.0	       1.63e+006	  	  	  4.0	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 14:59:45	new sample	BR-FL	71	1.0	       8.17e+005	BR-FL/BR	 33.4%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 15:01:27	new sample	BR	265	1.0	       2.95e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:01:27	new sample	FL	108	1.0	       1.19e+006	  	  	  4.7	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:01:27	new sample	BR-FL	157	1.0	       1.77e+006	BR-FL/BR	 59.9%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 15:03:06	new sample	BR	261	1.0	       2.91e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:03:06	new sample	FL	119	1.0	       1.31e+006	  	  	  4.8	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:03:06	new sample	BR-FL	142	1.0	       1.60e+006	BR-FL/BR	 55.1%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 15:05:30	new sample	BR	270	1.0	       3.00e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:05:30	new sample	FL	167	1.0	       1.83e+006	  	  	  4.3	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:05:30	new sample	BR-FL	103	1.0	       1.17e+006	BR-FL/BR	 39.0%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 15:06:57	new sample	BR	276	1.0	       3.07e+006	  	  	  6.4	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:06:57	new sample	FL	159	1.0	       1.74e+006	  	  	  4.7	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:06:57	new sample	BR-FL	117	1.0	       1.33e+006	BR-FL/BR	 43.2%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 15:08:53	new sample	BR	178	1.0	       1.98e+006	  	  	  6.0	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:08:53	new sample	FL	118	1.0	       1.29e+006	  	  	  4.5	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:08:53	new sample	BR-FL	60	1.0	       6.82e+005	BR-FL/BR	 34.5%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 15:10:11	new sample	BR	178	1.0	       1.97e+006	  	  	  5.7	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:10:11	new sample	FL	141	1.0	       1.54e+006	  	  	  4.3	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:10:11	new sample	BR-FL	37	1.0	       4.27e+005	BR-FL/BR	 21.7%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 15:11:54	new sample	BR	219	1.0	       2.42e+006	  	  	  5.8	Feeding Trial 1 SS_low conc	Algae RC
